variable_name,role,feature_family,used_in_current_frozen_pipeline,source_location,notes
bnp_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
bnp_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
bnp_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mb_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ck_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
d_dimer_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
il6_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ldh_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lipase_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_abs_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_median,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_min,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
lymph_pct_obs_count,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
n_core_grps_obs_block,secondary_only,observation_process,yes,src/chapter1_mortality_decomposition/observation_process.py; src/chapter1_mortality_decomposition/pipeline.py; src/chapter1_mortality_decomposition/asic_observation_process_sensitivity.py; ../icu-data-platform/artifacts/asic_harmonized/dynamic/harmonized.csv,Count of observed core groups in the current block; exported separately and only optionally merged into primary model-ready.
ntprobnp_last,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ntprobnp_max,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
ntprobnp_mean,secondary_only,extended_additional_features,yes,config/ch1_feature_sets.json; src/chapter1_mortality_decomposition/config.py; src/chapter1_mortality_decomposition/carry_forward.py; src/chapter1_mortality_decomposition/model_ready.py; src/chapter1_mortality_decomposition/pipeline.py; ../icu-data-platform/artifacts/asic_harmonized/blocked/asic_8h_blocked_dynamic_features.csv; ../icu-data-platform/artifacts/asic_harmonized/cohort/chapter1_retained_stays.csv,Extended-additional derived feature built in the current extended feature-set branch; not part of the shared primary contract.
